"","TARGET","GENDER","BALANCE","OCCUPATION","AGE_BKT","SCR","HOLDING_PERIOD","ACC_TYPE","LEN_OF_RLTN_IN_MNTH","NO_OF_L_CR_TXNS","NO_OF_L_DR_TXNS","NO_OF_BR_CSH_WDL_DR_TXNS","NO_OF_ATM_DR_TXNS","NO_OF_NET_DR_TXNS","NO_OF_MOB_DR_TXNS","NO_OF_CHQ_DR_TXNS","FLG_HAS_CC","AMT_ATM_DR","AMT_BR_CSH_WDL_DR","AMT_CHQ_DR","AMT_NET_DR","AMT_MOB_DR","FLG_HAS_ANY_CHGS","AMT_OTH_BK_ATM_USG_CHGS","AMT_MIN_BAL_NMC_CHGS","NO_OF_IW_CHQ_BNC_TXNS","NO_OF_OW_CHQ_BNC_TXNS","AVG_AMT_PER_ATM_TXN","AVG_AMT_PER_CSH_WDL_TXN","AVG_AMT_PER_CHQ_TXN","AVG_AMT_PER_NET_TXN","AVG_AMT_PER_MOB_TXN"
"1","0","M",3383.75,"SELF-EMP","26-30",776,30,"SA",146,7,3,0,1,2,0,0,"0",13100,0,0,973557,0,"0",0,0,0,0,13100,0,0,486778.5,0
"2","0","M",287489.04,"SAL","46-50",324,28,"SA",104,8,2,0,1,1,0,0,"0",6600,0,0,799813,0,"1",0,0,0,0,6600,0,0,799813,0
"3","0","M",18216.88,"SELF-EMP","36-40",603,2,"SA",61,10,5,1,1,1,0,2,"0",11200,561120,49320,997570,0,"1",0,0,0,1,11200,561120,24660,997570,0
"4","0","M",71720.48,"SAL",">50",196,13,"CA",107,36,14,4,2,3,1,4,"0",26100,673590,60780,741506,71388,"0",0,0,0,0,13050,168397.5,15195,247168.67,71388
"5","0","M",1671622.89,"PROF","36-40",167,24,"SA",185,20,1,1,0,0,0,0,"0",0,808480,0,0,0,"0",0,0,0,0,0,808480,0,0,0
"6","0","F",521685.69,"PROF","41-45",493,26,"SA",192,5,2,1,1,0,0,0,"1",18500,379310,0,0,0,"0",0,0,0,0,18500,379310,0,0,0
"7","0","M",204458.6,"PROF","26-30",479,14,"SA",177,6,6,0,1,1,0,4,"0",6200,0,10580,770065,0,"1",0,0,0,0,6200,0,2645,770065,0
"8","0","F",58516.34,"SAL",">50",562,25,"CA",99,14,3,3,0,0,0,0,"0",0,945160,0,0,0,"0",0,0,0,0,0,315053.33,0,0,0
"9","0","F",13158.14,"SELF-EMP","41-45",105,15,"SA",88,18,14,6,2,4,1,1,"1",35400,198430,51490,326421,170332,"0",0,0,0,0,17700,33071.67,51490,81605.25,170332
"10","0","M",831150.18,"PROF","26-30",170,13,"SA",111,14,8,3,1,0,0,4,"0",18000,869880,32610,0,0,"0",0,0,0,0,18000,289960,8152.5,0,0
"11","0","M",13683.16,"SELF-EMP",">50",395,7,"SA",160,7,5,1,1,1,0,2,"0",11300,632710,13080,381666,0,"0",0,0,0,0,11300,632710,6540,381666,0
